PanelID,Name,Version,Genes,GeneCount,DateOfCheck
1207,Acute intermittent porphyria,1.6,HMBS,1,2026-05-04
1141,Acute rhabdomyolysis,2.1,ACAD9;ACADM;ACADVL;AGL;ALDOA;AMPD1;ANO5;CACNA1S;CASQ1;CAV3;CHKB;COQ4;COQ8A;CPT2;CYP2C8;DGUOK;DMD;DYSF;ENO3;ETFA;ETFB;ETFDH;FDX2;FKRP;FLAD1;GAA;GBE1;GMPPB;GYG1;GYS1;HADHA;HADHB;ISCU;LAMP2;LDHA;LPIN1;MLIP;MT-CO1;MT-CO2;MYH1;OBSCN;PFKM;PGAM2;PGK1;PGM1;PHKA1;PHKB;PHKG1;POC5;POLG;POLG2;PRKAG2;PYGM;RBCK1;RRM2B;RYR1;SCN4A;SGCA;SIL1;SLC22A12;SLC22A5;SLC2A9;SUCLA2;TANGO2;TK2;TSEN54;TSFM;TYMP;XPNPEP3,69,2026-05-04
399,Additional findings health related,0.116,APC;APOB;BRCA1;BRCA2;CFTR;LDLR;MEN1;MLH1;MSH2;MSH6;MUTYH;PCSK9;RET;VHL,14,2026-05-04
933,Additional findings health related - adults,2.4,APC;APOB;BRCA1;BRCA2;LDLR;MEN1;MLH1;MSH2;MSH6;MUTYH;PCSK9;RET;VHL,13,2026-05-04
929,Additional findings health related - adult specific,1.3,BRCA1;BRCA2;MLH1;MSH2;MSH6;MUTYH,6,2026-05-04
930,Additional findings health related - children,1.1,APC;APOB;LDLR;MEN1;PCSK9;RET;VHL,7,2026-05-04
934,Additional findings health related - CNV analysis adults,2.4,APC;BRCA1;BRCA2;LDLR;MEN1;MLH1;MSH2;MSH6;MUTYH;VHL,10,2026-05-04
931,Additional findings health related - CNV analysis adult specific,1.3,BRCA1;BRCA2;MLH1;MSH2;MSH6;MUTYH,6,2026-05-04
932,Additional findings health related - CNV analysis children,1.1,APC;LDLR;MEN1;VHL,4,2026-05-04
774,Additional findings reproductive carrier status,1.2,CFTR,1,2026-05-04
540,"Adult onset dystonia, chorea or related movement disorder",5.5,ACTB;ADAR;ADCY5;AFG3L2;AIFM1;ANO3;AP1S2;APTX;ARSA;ARX;ATM;ATN1;ATP13A2;ATP1A2;ATP1A3;ATP6AP2;ATP7B;ATXN1;ATXN2;ATXN3;AUH;BCAP31;BCS1L;BDNF;C19orf12;C9orf72;CACNA1A;CACNB4;CHCHD2;CHMP2B;CIZ1;COASY;COX10;COX15;CP;CSF1R;CSTB;CYP27A1;DCAF10;DCAF17;DCTN1;DDC;DLAT;DNAJC6;DRD2;DRD5;EARS2;EIF4G1;ERCC6;ETHE1;FA2H;FASTKD2;FBXO7;FOXG1;FOXP2;FOXRED1;FTL;GAMT;GBA;GCDH;GCH1;GFAP;GIGYF2;GLB1;GLRA1;GLRB;GNAL;GNAO1;GRN;GTPBP2;HEXA;HIBCH;HPCA;HPRT1;HTRA2;HTT;IFIH1;IPPK;ISG15;IVD;JPH3;KCNA1;KCNK18;KCNQ2;KCNQ3;KIAA1161;KMT2B;L2HGDH;LRRK2;LYST;MAPT;MAT1A;MCOLN1;MECR;MMADHC;MPV17;MR1;MT-ATP6;MT-ND1;MT-ND6;MUT;NDUFA1;NDUFA10;NDUFA12;NDUFA2;NDUFA9;NDUFAF2;NDUFAF6;NDUFS3;NDUFS4;NDUFS7;NDUFS8;NDUFV1;NKX2-1;NKX6-2;NPC2;NR4A2;NUP62;OCLN;OPA3;PANK2;PARK7;PCCA;PCCB;PCDH12;PDE10A;PDE2A;PDGFB;PDGFRB;PDHA1;PDHX;PDP1;PDX1;PINK1;PLA2G6;PLP1;PNKD;PNPT1;PPP2R2B;PPP2R5D;PRKN;PRKRA;PRNP;PRRT2;PSEN1;PTEN;PTS;QDPR;RAB39B;RNASEH2A;RNASEH2B;RNASEH2C;RNF216;SAMHD1;SCN1A;SCN8A;SCN9A;SCP2;SDHA;SDHAF1;SERAC1;SGCE;SLC19A3;SLC1A3;SLC20A2;SLC25A19;SLC2A1;SLC30A10;SLC39A14;SLC41A1;SLC46A1;SLC6A3;SLC6A5;SNCA;SNCAIP;SPG11;SPR;SUCLA2;SUCLG1;SUOX;SURF1;SYNJ1;TAF1;TBK1;TBP;TH;THAP1;TIMM8A;TOR1A;TPK1;TREM2;TREX1;TUBA1A;TUBB4A;UCHL1;VAC14;VAMP2;VPS13A;VPS16;VPS35;VPS37A;VPS41;WDR45;WDR73;XK;XPR1;YY1,207,2026-05-04
567,Adult onset hereditary spastic paraplegia,6.9,ABCD1;ADAR;AFG3L2;AIMP1;ALDH18A1;ALS2;AMPD2;AP4B1;AP4E1;AP4M1;AP4S1;AP5Z1;ARG1;ARL6IP1;ARSI;ATL1;ATP13A2;B4GALNT1;BICD2;BSCL2;C12orf65;C19orf12;CAPN1;CCT5;CDK16;CHP1;COQ4;CPT1C;CYP27A1;CYP2U1;CYP7B1;DARS;DDHD1;DDHD2;DSTYK;ENTPD1;ERLIN1;ERLIN2;FA2H;FARS2;FBXO7;FXN;GAD1;GALC;GBA2;GBE1;GCH1;GJA1;GJC2;HACE1;HSPD1;IBA57;KCNA2;KDM5C;KIDINS220;KIF1A;KIF1C;KIF5A;KLC4;L1CAM;LYST;MAG;MARS;MARS2;MTPAP;NIPA1;NKX6-2;NT5C2;OPA3;PCDH12;PCYT2;PGAP1;PLP1;PNPLA6;POLR3A;PRNP;PSEN1;RAB3GAP2;REEP1;REEP2;RTN2;SACS;SERAC1;SLC16A2;SLC1A4;SLC25A15;SLC25A46;SLC33A1;SPART;SPAST;SPG11;SPG21;SPG7;SPTAN1;TECPR2;TFG;TRMT5;TUBB4A;UBAP1;UCHL1;USP8;VAMP1;VPS37A;WASHC5;WDR45B;WDR48;ZEB2;ZFYVE26;ZFYVE27,109,2026-05-04
